Date,Fajr,Sunrise,Dhuhr,Asr,Sunset,Maghrib,Isha,Imsak,Midnight,Firstthird,Lastthird,Date_Added
21 Oct 2023,05:53 AM,07:10 AM,12:36 PM,03:34 PM,06:00 PM,06:00 PM,07:17 PM,05:43 AM,12:35 AM,10:24 PM,02:47 AM,2023-09-17
22 Oct 2023,05:54 AM,07:11 AM,12:35 PM,03:33 PM,05:59 PM,05:59 PM,07:16 PM,05:44 AM,12:35 AM,10:23 PM,02:47 AM,2023-09-17
23 Oct 2023,05:55 AM,07:13 AM,12:35 PM,03:32 PM,05:57 PM,05:57 PM,07:15 PM,05:45 AM,12:35 AM,10:22 PM,02:47 AM,2023-09-17
24 Oct 2023,05:56 AM,07:14 AM,12:35 PM,03:31 PM,05:56 PM,05:56 PM,07:13 PM,05:46 AM,12:35 AM,10:22 PM,02:48 AM,2023-09-17
25 Oct 2023,05:57 AM,07:15 AM,12:35 PM,03:29 PM,05:54 PM,05:54 PM,07:12 PM,05:47 AM,12:35 AM,10:21 PM,02:48 AM,2023-09-17
26 Oct 2023,05:59 AM,07:16 AM,12:35 PM,03:28 PM,05:53 PM,05:53 PM,07:11 PM,05:49 AM,12:35 AM,10:21 PM,02:48 AM,2023-09-17
27 Oct 2023,06:00 AM,07:17 AM,12:35 PM,03:27 PM,05:52 PM,05:52 PM,07:09 PM,05:50 AM,12:34 AM,10:20 PM,02:49 AM,2023-09-17
28 Oct 2023,06:01 AM,07:19 AM,12:35 PM,03:26 PM,05:50 PM,05:50 PM,07:08 PM,05:51 AM,12:34 AM,10:20 PM,02:49 AM,2023-09-17
29 Oct 2023,06:02 AM,07:20 AM,12:35 PM,03:25 PM,05:49 PM,05:49 PM,07:07 PM,05:52 AM,12:34 AM,10:19 PM,02:49 AM,2023-09-17
30 Oct 2023,06:03 AM,07:21 AM,12:35 PM,03:24 PM,05:48 PM,05:48 PM,07:06 PM,05:53 AM,12:34 AM,10:19 PM,02:50 AM,2023-09-17
31 Oct 2023,06:04 AM,07:22 AM,12:35 PM,03:23 PM,05:46 PM,05:46 PM,07:04 PM,05:54 AM,12:34 AM,10:18 PM,02:50 AM,2023-09-17
01 Nov 2023,06:05 AM,07:23 AM,12:35 PM,03:23 PM,05:45 PM,05:45 PM,07:03 PM,05:55 AM,12:34 AM,10:18 PM,02:51 AM,2023-10-01
02 Nov 2023,06:06 AM,07:25 AM,12:34 PM,03:22 PM,05:44 PM,05:44 PM,07:02 PM,05:56 AM,12:34 AM,10:17 PM,02:51 AM,2023-10-01
03 Nov 2023,06:07 AM,07:26 AM,12:34 PM,03:21 PM,05:43 PM,05:43 PM,07:01 PM,05:57 AM,12:34 AM,10:17 PM,02:51 AM,2023-10-01
04 Nov 2023,06:08 AM,07:27 AM,12:35 PM,03:20 PM,05:41 PM,05:41 PM,07:00 PM,05:58 AM,12:34 AM,10:17 PM,02:52 AM,2023-10-01
05 Nov 2023,05:09 AM,06:28 AM,11:35 AM,02:19 PM,04:40 PM,04:40 PM,05:59 PM,04:59 AM,11:34 PM,09:16 PM,01:52 AM,2023-10-01
06 Nov 2023,05:11 AM,06:30 AM,11:35 AM,02:18 PM,04:39 PM,04:39 PM,05:58 PM,05:01 AM,11:34 PM,09:16 PM,01:53 AM,2023-10-01
07 Nov 2023,05:12 AM,06:31 AM,11:35 AM,02:17 PM,04:38 PM,04:38 PM,05:57 PM,05:02 AM,11:34 PM,09:15 PM,01:53 AM,2023-10-01
08 Nov 2023,05:13 AM,06:32 AM,11:35 AM,02:16 PM,04:37 PM,04:37 PM,05:56 PM,05:03 AM,11:34 PM,09:15 PM,01:54 AM,2023-10-01
09 Nov 2023,05:14 AM,06:33 AM,11:35 AM,02:15 PM,04:36 PM,04:36 PM,05:55 PM,05:04 AM,11:34 PM,09:15 PM,01:54 AM,2023-10-01
10 Nov 2023,05:15 AM,06:35 AM,11:35 AM,02:15 PM,04:35 PM,04:35 PM,05:54 PM,05:05 AM,11:35 PM,09:15 PM,01:55 AM,2023-10-01
11 Nov 2023,05:16 AM,06:36 AM,11:35 AM,02:14 PM,04:34 PM,04:34 PM,05:53 PM,05:06 AM,11:35 PM,09:14 PM,01:55 AM,2023-10-01
12 Nov 2023,05:17 AM,06:37 AM,11:35 AM,02:13 PM,04:33 PM,04:33 PM,05:53 PM,05:07 AM,11:35 PM,09:14 PM,01:56 AM,2023-10-01
13 Nov 2023,05:18 AM,06:38 AM,11:35 AM,02:12 PM,04:32 PM,04:32 PM,05:52 PM,05:08 AM,11:35 PM,09:14 PM,01:56 AM,2023-10-01
14 Nov 2023,05:19 AM,06:39 AM,11:35 AM,02:12 PM,04:31 PM,04:31 PM,05:51 PM,05:09 AM,11:35 PM,09:14 PM,01:57 AM,2023-10-01
15 Nov 2023,05:20 AM,06:41 AM,11:36 AM,02:11 PM,04:30 PM,04:30 PM,05:50 PM,05:10 AM,11:35 PM,09:13 PM,01:57 AM,2023-10-01
16 Nov 2023,05:21 AM,06:42 AM,11:36 AM,02:10 PM,04:29 PM,04:29 PM,05:50 PM,05:11 AM,11:35 PM,09:13 PM,01:58 AM,2023-10-01
17 Nov 2023,05:22 AM,06:43 AM,11:36 AM,02:10 PM,04:28 PM,04:28 PM,05:49 PM,05:12 AM,11:36 PM,09:13 PM,01:58 AM,2023-10-01
18 Nov 2023,05:23 AM,06:44 AM,11:36 AM,02:09 PM,04:27 PM,04:27 PM,05:48 PM,05:13 AM,11:36 PM,09:13 PM,01:59 AM,2023-10-01
19 Nov 2023,05:24 AM,06:46 AM,11:36 AM,02:08 PM,04:27 PM,04:27 PM,05:48 PM,05:14 AM,11:36 PM,09:13 PM,01:59 AM,2023-10-01
20 Nov 2023,05:26 AM,06:47 AM,11:37 AM,02:08 PM,04:26 PM,04:26 PM,05:47 PM,05:16 AM,11:36 PM,09:13 PM,02:00 AM,2023-10-01
21 Nov 2023,05:27 AM,06:48 AM,11:37 AM,02:07 PM,04:25 PM,04:25 PM,05:47 PM,05:17 AM,11:37 PM,09:13 PM,02:00 AM,2023-10-01
22 Nov 2023,05:28 AM,06:49 AM,11:37 AM,02:07 PM,04:25 PM,04:25 PM,05:46 PM,05:18 AM,11:37 PM,09:13 PM,02:01 AM,2023-10-01
23 Nov 2023,05:29 AM,06:50 AM,11:37 AM,02:06 PM,04:24 PM,04:24 PM,05:46 PM,05:19 AM,11:37 PM,09:13 PM,02:01 AM,2023-10-01
24 Nov 2023,05:30 AM,06:51 AM,11:38 AM,02:06 PM,04:23 PM,04:23 PM,05:45 PM,05:20 AM,11:37 PM,09:13 PM,02:02 AM,2023-10-01
25 Nov 2023,05:31 AM,06:53 AM,11:38 AM,02:06 PM,04:23 PM,04:23 PM,05:45 PM,05:21 AM,11:38 PM,09:13 PM,02:03 AM,2023-10-01
26 Nov 2023,05:32 AM,06:54 AM,11:38 AM,02:05 PM,04:22 PM,04:22 PM,05:44 PM,05:22 AM,11:38 PM,09:13 PM,02:03 AM,2023-10-01
27 Nov 2023,05:33 AM,06:55 AM,11:39 AM,02:05 PM,04:22 PM,04:22 PM,05:44 PM,05:23 AM,11:38 PM,09:13 PM,02:04 AM,2023-10-01
28 Nov 2023,05:34 AM,06:56 AM,11:39 AM,02:05 PM,04:21 PM,04:21 PM,05:44 PM,05:24 AM,11:39 PM,09:13 PM,02:04 AM,2023-10-01
29 Nov 2023,05:35 AM,06:57 AM,11:39 AM,02:04 PM,04:21 PM,04:21 PM,05:44 PM,05:25 AM,11:39 PM,09:13 PM,02:05 AM,2023-10-01
30 Nov 2023,05:35 AM,06:58 AM,11:40 AM,02:04 PM,04:21 PM,04:21 PM,05:43 PM,05:25 AM,11:39 PM,09:13 PM,02:06 AM,2023-10-01
